trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
645,False,"{'a': 0.25, 'e': 0.02991618284190223}",30,21,12.099021064067792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.25, 'e': 0.029871433942110726}",25,10,23.547120633584598,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.25, 'e': 0.02982681881382283}",20,14,10.218740903521862,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.25, 'e': 0.0297823368577952}",20,13,12.610721426458626,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.25, 'e': 0.02973798747835964}",25,16,15.082226651772105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.25, 'e': 0.029693770083396485}",20,0,30.837067569957963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
651,False,"{'a': 0.25, 'e': 0.029649684084308205}",20,11,14.021400971410484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.25, 'e': 0.029605728895993243}",20,8,16.9311516075004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.25, 'e': 0.02956190393682009}",30,22,9.366632401596046,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.25, 'e': 0.029518208628601602}",20,4,26.916466675108072,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.25, 'e': 0.02947464239656952}",20,0,28.374594793261235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.25, 'e': 0.029431204669349235}",20,10,16.15402087497076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.25, 'e': 0.029387894878934777}",25,0,-13.628785506272665,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
658,False,"{'a': 0.25, 'e': 0.029344712460664012}",25,11,22.974822480677112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.25, 'e': 0.02930165685319406}",30,17,22.399791774234536,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.25, 'e': 0.029258727498476942}",25,11,23.557691927082015,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.25, 'e': 0.029215923841735436}",30,18,18.240696660388206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.25, 'e': 0.029173245331439134}",25,4,36.76403664777182,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.25, 'e': 0.029130691419280718}",30,16,30.547674450244667,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.25, 'e': 0.02908826156015245}",20,8,8.254054510348695,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
665,False,"{'a': 0.25, 'e': 0.029045955212122856}",20,11,13.5951894353158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.25, 'e': 0.029003771836413623}",20,3,24.971685326204053,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.25, 'e': 0.028961710897376685}",25,17,15.927302078628369,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.25, 'e': 0.028919771862471525}",25,13,-19.731476247207063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
669,False,"{'a': 0.25, 'e': 0.028877954202242654}",20,5,29.03599303904193,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.25, 'e': 0.028836257390297312}",25,19,10.10337065796357,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.25, 'e': 0.02879468090328334}",35,1,59.249161967451215,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.25, 'e': 0.028753224220867245}",30,15,25.4878036613268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.25, 'e': 0.028711886825712473}",35,23,20.50484305622042,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.25, 'e': 0.028670668203457848}",25,14,19.424709056427208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.25, 'e': 0.02862956784269621}",20,13,4.507670406550364,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
676,False,"{'a': 0.25, 'e': 0.028588585234953234}",25,10,14.720082805344438,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
677,False,"{'a': 0.25, 'e': 0.028547719874666425}",30,18,20.281340756133908,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.25, 'e': 0.028506971259164304}",25,19,9.868884800494063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.25, 'e': 0.028466338888645762}",30,13,28.09135313951014,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.25, 'e': 0.0284258222661596}",20,16,8.13810073320009,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.25, 'e': 0.028385420897584238}",30,18,21.74883989136978,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.25, 'e': 0.028345134291607586}",20,12,17.100730174887374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.25, 'e': 0.028304961959707123}",20,9,15.318604533285907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.25, 'e': 0.0282649034161301}",25,11,22.87368250421512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.25, 'e': 0.028224958177873943}",25,7,27.55875881137733,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.25, 'e': 0.028185125764666807}",25,8,30.09179885532154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.25, 'e': 0.028145405698948304}",25,2,-1.5779767235690687,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
688,False,"{'a': 0.25, 'e': 0.028105797505850384}",20,6,24.230602487711018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.25, 'e': 0.02806630071317839}",20,10,17.197361909270064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.25, 'e': 0.028026914851392262}",20,11,18.37840442327854,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.25, 'e': 0.0279876394535879}",25,15,14.698807904187829,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.25, 'e': 0.0279484740554787}",20,10,2.755710288320457,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
693,False,"{'a': 0.25, 'e': 0.02790941819537721}",20,7,22.74461340243565,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.25, 'e': 0.027870471414176985}",20,9,18.448291808704155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.25, 'e': 0.027831633255334564}",30,13,26.783116527899676,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.25, 'e': 0.027792903264851593}",20,14,11.450087444149169,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.25, 'e': 0.027754280991257124}",20,8,20.950898354021856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.25, 'e': 0.02771576598559004}",20,8,19.335658552038087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.25, 'e': 0.02767735780138164}",20,13,13.091297262060397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.25, 'e': 0.027639055994638357}",20,2,29.49393250801405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.25, 'e': 0.02760086012382462}",30,20,19.651619240179777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.25, 'e': 0.02756276974984587}",25,17,16.625183954764612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
